               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  53,            0.029594,            0.012739,                   0,             0.99143,                   1,               0.995,             0.73813,           0.0068821,           0.0035789,                   0,            0.004852,            0.004852,            0.004852
                  54,            0.031576,            0.014241,                   0,             0.99154,                   1,               0.995,             0.74285,           0.0075032,           0.0032142,                   0,            0.004753,            0.004753,            0.004753
                  55,            0.025097,            0.011883,                   0,             0.99149,                   1,               0.995,             0.77249,           0.0083102,           0.0028802,                   0,            0.004654,            0.004654,            0.004654
                  56,            0.026425,            0.010584,                   0,              0.9911,                   1,               0.995,             0.74914,           0.0076275,           0.0030231,                   0,            0.004555,            0.004555,            0.004555
                  57,            0.025866,            0.012423,                   0,              0.9907,                   1,               0.995,             0.75727,           0.0074138,             0.00331,                   0,            0.004456,            0.004456,            0.004456
                  58,            0.035382,            0.013298,                   0,             0.99118,                   1,               0.995,             0.79182,           0.0063173,           0.0034933,                   0,            0.004357,            0.004357,            0.004357
                  59,            0.031582,             0.01248,                   0,              0.9907,                   1,               0.995,             0.76215,           0.0070889,           0.0037158,                   0,            0.004258,            0.004258,            0.004258
                  60,            0.036594,            0.012504,                   0,             0.99116,                   1,               0.995,             0.76083,           0.0077024,           0.0037892,                   0,            0.004159,            0.004159,            0.004159
                  61,            0.028145,            0.011764,                   0,             0.99077,                   1,               0.995,             0.75805,           0.0074945,           0.0037011,                   0,             0.00406,             0.00406,             0.00406
                  62,            0.027919,            0.012264,                   0,             0.99148,                   1,               0.995,             0.75868,           0.0091336,           0.0035077,                   0,            0.003961,            0.003961,            0.003961
                  63,            0.023274,            0.010653,                   0,             0.99086,                   1,               0.995,             0.72996,           0.0077385,           0.0036795,                   0,            0.003862,            0.003862,            0.003862
                  64,            0.027424,            0.011496,                   0,             0.99106,                   1,               0.995,             0.74131,           0.0062572,           0.0032931,                   0,            0.003763,            0.003763,            0.003763
                  65,            0.027697,            0.012418,                   0,             0.99184,                   1,               0.995,             0.73257,           0.0086351,           0.0029807,                   0,            0.003664,            0.003664,            0.003664
                  66,            0.026083,            0.012083,                   0,             0.99247,                   1,               0.995,             0.83665,           0.0056747,           0.0028275,                   0,            0.003565,            0.003565,            0.003565
                  67,            0.029946,            0.011602,                   0,             0.99403,                   1,               0.995,             0.84736,           0.0056268,           0.0025455,                   0,            0.003466,            0.003466,            0.003466
                  68,             0.02578,            0.011851,                   0,             0.99373,                   1,               0.995,             0.83325,           0.0057033,           0.0023993,                   0,            0.003367,            0.003367,            0.003367
                  69,            0.025776,            0.012449,                   0,             0.99248,                   1,               0.995,             0.81862,           0.0062494,           0.0023247,                   0,            0.003268,            0.003268,            0.003268
                  70,            0.023454,            0.013334,                   0,             0.99279,                   1,               0.995,             0.85215,           0.0056555,           0.0023226,                   0,            0.003169,            0.003169,            0.003169
                  71,            0.031034,            0.012097,                   0,              0.9926,                   1,               0.995,              0.8839,           0.0055682,           0.0023557,                   0,             0.00307,             0.00307,             0.00307
                  72,            0.032525,            0.012992,                   0,             0.99313,                   1,               0.995,             0.88282,           0.0042878,           0.0022003,                   0,            0.002971,            0.002971,            0.002971
                  73,            0.028071,            0.010924,                   0,             0.99396,                   1,               0.995,             0.86776,           0.0045551,           0.0021354,                   0,            0.002872,            0.002872,            0.002872
                  74,              0.0228,            0.011266,                   0,             0.99539,                   1,               0.995,             0.88169,           0.0041173,           0.0021249,                   0,            0.002773,            0.002773,            0.002773
                  75,            0.026654,            0.012142,                   0,             0.99562,                   1,               0.995,             0.87058,           0.0043386,           0.0021899,                   0,            0.002674,            0.002674,            0.002674
                  76,              0.0258,            0.010698,                   0,              0.9957,                   1,               0.995,             0.86957,           0.0053123,           0.0022753,                   0,            0.002575,            0.002575,            0.002575
                  77,            0.019057,            0.010892,                   0,             0.99604,                   1,               0.995,             0.88331,           0.0048258,           0.0021674,                   0,            0.002476,            0.002476,            0.002476
                  78,            0.021832,            0.010563,                   0,             0.99509,                   1,               0.995,             0.87213,            0.004965,           0.0019777,                   0,            0.002377,            0.002377,            0.002377
                  79,            0.026436,            0.013714,                   0,             0.99469,                   1,               0.995,             0.86793,           0.0059692,           0.0020281,                   0,            0.002278,            0.002278,            0.002278
                  80,            0.029024,            0.011837,                   0,             0.99417,                   1,               0.995,             0.88065,           0.0045257,           0.0019812,                   0,            0.002179,            0.002179,            0.002179
                  81,            0.022474,            0.012257,                   0,             0.99319,                   1,               0.995,             0.84466,           0.0058434,           0.0019664,                   0,             0.00208,             0.00208,             0.00208
                  82,            0.021214,            0.012047,                   0,             0.99275,                   1,               0.995,             0.83143,            0.005195,           0.0019502,                   0,            0.001981,            0.001981,            0.001981
                  83,            0.024345,            0.011203,                   0,              0.9929,                   1,               0.995,             0.85536,           0.0053537,           0.0019864,                   0,            0.001882,            0.001882,            0.001882
                  84,            0.022151,            0.011082,                   0,              0.9929,                   1,               0.995,             0.82992,           0.0054981,           0.0020056,                   0,            0.001783,            0.001783,            0.001783
                  85,            0.020775,            0.010663,                   0,             0.99282,                   1,               0.995,             0.85122,           0.0050426,           0.0019328,                   0,            0.001684,            0.001684,            0.001684
                  86,            0.021819,            0.010749,                   0,             0.99276,                   1,               0.995,             0.86554,           0.0047985,           0.0018322,                   0,            0.001585,            0.001585,            0.001585
                  87,            0.024866,            0.011336,                   0,             0.99316,                   1,               0.995,             0.87544,           0.0041286,           0.0020388,                   0,            0.001486,            0.001486,            0.001486
                  88,             0.02476,            0.011262,                   0,             0.99331,                   1,               0.995,             0.89894,           0.0041452,           0.0021267,                   0,            0.001387,            0.001387,            0.001387
                  89,            0.019945,            0.010324,                   0,             0.99327,                   1,               0.995,             0.89905,           0.0038616,           0.0022247,                   0,            0.001288,            0.001288,            0.001288
                  90,            0.017616,            0.010478,                   0,             0.99327,                   1,               0.995,             0.85682,           0.0043113,           0.0023135,                   0,            0.001189,            0.001189,            0.001189
                  91,            0.019917,            0.011313,                   0,             0.99333,                   1,               0.995,             0.89887,           0.0037246,           0.0021396,                   0,             0.00109,             0.00109,             0.00109
                  92,            0.020036,            0.010473,                   0,             0.99324,                   1,               0.995,             0.89897,           0.0038357,           0.0020432,                   0,            0.000991,            0.000991,            0.000991
                  93,            0.024606,            0.010839,                   0,             0.99328,                   1,               0.995,             0.90072,           0.0040096,           0.0019206,                   0,            0.000892,            0.000892,            0.000892
                  94,            0.019118,            0.010192,                   0,             0.99336,                   1,               0.995,             0.87431,           0.0039978,           0.0018592,                   0,            0.000793,            0.000793,            0.000793
                  95,            0.026858,            0.012119,                   0,             0.99336,                   1,               0.995,             0.88488,           0.0038671,           0.0017956,                   0,            0.000694,            0.000694,            0.000694
                  96,            0.026651,            0.010112,                   0,             0.99335,                   1,               0.995,             0.90877,           0.0038052,           0.0017944,                   0,            0.000595,            0.000595,            0.000595
                  97,            0.018627,            0.010216,                   0,             0.99345,                   1,               0.995,             0.90671,           0.0036179,           0.0017723,                   0,            0.000496,            0.000496,            0.000496
                  98,            0.028378,            0.010586,                   0,              0.9933,                   1,               0.995,             0.92394,            0.003483,           0.0017788,                   0,            0.000397,            0.000397,            0.000397
                  99,            0.022352,             0.01044,                   0,             0.99313,                   1,               0.995,             0.92328,           0.0034596,           0.0017676,                   0,            0.000298,            0.000298,            0.000298
